  ,Title ,Authors,Year,Journal,Publisher (IEEE/ACM/Elsevier/Springer),DOI,URL,Type (journal/conference/survey/experiment),,,,,BibTeX
0,Adversarial Machine Learning Attacks Against Network Intrusion Detection Systems: Classification Analysis,Dimitriya A. Mihaylova,2025,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11098254,IEEE,10.1109/ICEST66328.2025.11098254,,Confrence ,,,,,"@INPROCEEDINGS{11098254,
  author={Mihaylova, Dimitriya A.},
  booktitle={2025 60th International Scientific Conference on Information, Communication and Energy Systems and Technologies (ICEST)}, 
  title={Adversarial Machine Learning Attacks Against Network Intrusion Detection Systems: Classification Analysis}, 
  year={2025},
  volume={},
  number={},
  pages={1-4},
  keywords={Training;Hands;Machine learning algorithms;Network intrusion detection;Automated machine learning;Adversarial machine learning;Malware;Security;Protection;Testing;Adversarial Machine Learning;Network Intrusion Detection Systems;Poisoning attack;Evasion attack},
  doi={10.1109/ICEST66328.2025.11098254}}"
,Conditional Generative Adversarial Network with Optimal Machine Learning Based Intrusion Detection System,K. Hemavathi; R. Latha,2024,https://ieeexplore.ieee.org/document/10370325,IEEE, 10.1109/ICSCNA58489.2023.10370325,,Confrence ,,,,,"@INPROCEEDINGS{10370325,
  author={Hemavathi, K. and Latha, R.},
  booktitle={2023 International Conference on Sustainable Communication Networks and Application (ICSCNA)}, 
  title={Conditional Generative Adversarial Network with Optimal Machine Learning Based Intrusion Detection System}, 
  year={2023},
  volume={},
  number={},
  pages={1176-1182},
  keywords={Machine learning algorithms;Databases;Intrusion detection;Telecommunication traffic;Machine learning;Generative adversarial networks;Security;Machine learning;Feature selection;Class imbalance;CGAN;Intrusion detection system},
  doi={10.1109/ICSCNA58489.2023.10370325}}
"
,Application of Machine Learning Algorithms in Network Intrusion Detection,Shuchang Zhang; Yanling Li; Yu Shi; Man Hua,2022,https://ieeexplore.ieee.org/document/9778286,IEEE,10.1109/ICCCBDA55098.2022.9778286,,Confrence ,,,,,"@INPROCEEDINGS{9778286,
  author={Zhang, Shuchang and Li, Yanling and Shi, Yu and Hua, Man},
  booktitle={2022 7th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA)}, 
  title={Application of Machine Learning Algorithms in Network Intrusion Detection}, 
  year={2022},
  volume={},
  number={},
  pages={464-471},
  keywords={Deep learning;Cloud computing;Machine learning algorithms;Intrusion detection;Cyberspace;Network intrusion detection;Big Data;cyber security;intrusion detection;machine learning;deep learning},
  doi={10.1109/ICCCBDA55098.2022.9778286}}
"
,Adversarial Challenges in Network Intrusion Detection Systems: Research Insights and Future Prospects,Sabrine Ennaji; Fabio de Gaspari; Dorjan Hitaj; Alicia Kbidi; Luigi Vincenzo Mancini,2025,https://ieeexplore.ieee.org/document/11131124,IEEE,10.1109/ACCESS.2025.3600984,,Journal,,,,,"@ARTICLE{11131124,
  author={Ennaji, Sabrine and de Gaspari, Fabio and Hitaj, Dorjan and Kbidi, Alicia and Vincenzo Mancini, Luigi},
  journal={IEEE Access}, 
  title={Adversarial Challenges in Network Intrusion Detection Systems: Research Insights and Future Prospects}, 
  year={2025},
  volume={13},
  number={},
  pages={148613-148645},
  keywords={Surveys;Network intrusion detection;Telecommunication traffic;Machine learning;Computer security;Semantics;Taxonomy;Deep learning;Artificial neural networks;Systematic literature review;Network intrusion detection systems;machine learning;cybersecurity;deep learning;adversarial attacks},
  doi={10.1109/ACCESS.2025.3600984}}"
,A Literature Review on Machine Learning Methods Used in Intrusion Detection System to Detect Cyber Attack,Aniruddha Prabhu B P; Sunitha N R,2024,https://ieeexplore.ieee.org/document/10803215,IEEE,10.1109/CYBERCOM63683.2024.10803215,,Confrence ,,,,,"@INPROCEEDINGS{10803215,
  author={B P, Aniruddha Prabhu and N R, Sunitha},
  booktitle={2024 International Conference on Cybernation and Computation (CYBERCOM)}, 
  title={A Literature Review on Machine Learning Methods Used in Intrusion Detection System to Detect Cyber Attack}, 
  year={2024},
  volume={},
  number={},
  pages={94-97},
  keywords={Support vector machines;Cloud computing;Computational modeling;Storage management;Intrusion detection;Machine learning;Real-time systems;Vectors;Internet of Things;Cyberattack;Intrusion detection system (IDS);Machine Learning (ML);Artificial Intelligence (AI);Cyber Security (CS);support vector machines (SVM)},
  doi={10.1109/CYBERCOM63683.2024.10803215}}
"
,A Technique for Protecting Machine Learning Components of Intrusion Detection Systems from Evasion Attacks,Egor Ichetovkin; Igor Kotenko,2025,https://ieeexplore.ieee.org/document/10986131,IEEE,10.1109/SmartIndustryCon65166.2025.10986131,,Confrence ,,,,,"@INPROCEEDINGS{10986131,
  author={Ichetovkin, Egor and Kotenko, Igor},
  booktitle={2025 International Russian Smart Industry Conference (SmartIndustryCon)}, 
  title={A Technique for Protecting Machine Learning Components of Intrusion Detection Systems from Evasion Attacks}, 
  year={2025},
  volume={},
  number={},
  pages={735-740},
  keywords={Measurement;Industries;Intrusion detection;Machine learning;Mathematical models;Protection;Long short term memory;Cyberattack;cybersecurity;intrusion detection systems;machine learning components;adversarial attacks;methods of protection},
  doi={10.1109/SmartIndustryCon65166.2025.10986131}}
"
,Clustering and Ensemble Based Approach for Securing Electricity Theft Detectors Against Evasion Attacks,Islam Elgarhy; Mahmoud M. Badr; Mohamed M. E. A. Mahmoud; Mostafa M. Fouda; Maazen Alsabaan; Hisham A. Kholidy,2023,https://ieeexplore.ieee.org/document/10258262,IEEE,10.1109/ACCESS.2023.3318111,,Confrence ,,,,,"@ARTICLE{10258262,
  author={Elgarhy, Islam and Badr, Mahmoud M. and Mahmoud, Mohamed M. E. A. and Fouda, Mostafa M. and Alsabaan, Maazen and Kholidy, Hisham A.},
  journal={IEEE Access}, 
  title={Clustering and Ensemble Based Approach for Securing Electricity Theft Detectors Against Evasion Attacks}, 
  year={2023},
  volume={11},
  number={},
  pages={112147-112164},
  keywords={Detectors;Robustness;Threat modeling;Support vector machines;Data models;Closed box;Benchmark testing;Smart grids;Machine learning;Clustering methods;Security;smart grids;electricity theft;evasion attacks;applied machine learning;clustering;ensemble},
  doi={10.1109/ACCESS.2023.3318111}}"
,Model Evasion Attack on Intrusion Detection Systems using Adversarial Machine Learning,Md. Ahsan Ayub; William A. Johnson; Douglas A. Talbert; Ambareen Siraj,2020,https://ieeexplore.ieee.org/document/9086268,IEEE,10.1109/CISS48834.2020.1570617116,,Confrence ,,,,,"@INPROCEEDINGS{9086268,
  author={Ayub, Md. Ahsan and Johnson, William A. and Talbert, Douglas A. and Siraj, Ambareen},
  booktitle={2020 54th Annual Conference on Information Sciences and Systems (CISS)}, 
  title={Model Evasion Attack on Intrusion Detection Systems using Adversarial Machine Learning}, 
  year={2020},
  volume={},
  number={},
  pages={1-6},
  keywords={Jacobian matrices;Machine learning algorithms;Perturbation methods;Intrusion detection;Multilayer perceptrons;Predictive models;Adversarial machine learning;Adversarial Machine Learning;Evasion Attack;Intrusion Detection System;Neural Network},
  doi={10.1109/CISS48834.2020.1570617116}}"
,"White-Box Adversarial Exploitation of NIDS: Insights from FGSM, PGD, and C&W",,2025,https://ieeexplore.ieee.org/document/109324055,IEEE, 10.1109/CICTN64563.2025.10932405,,Confrence ,,,,,"@INPROCEEDINGS{10932405,
  author={Ali, Uliya Ashfaque and Dogra, Krish and Sharma, Seema},
  booktitle={2025 2nd International Conference on Computational Intelligence, Communication Technology and Networking (CICTN)}, 
  title={White-Box Adversarial Exploitation of NIDS: Insights from FGSM, PGD, and C&W}, 
  year={2025},
  volume={},
  number={},
  pages={668-673},
  keywords={Measurement;Training;Accuracy;Computational modeling;Network intrusion detection;Telecommunication traffic;Machine learning;Data models;Robustness;Computer security;Network Intrusion Detection Systems (NIDS);adversarial attacks;CNN-LSTM;FGSM;PGD;Carlini & Wagner attack;robustness;network security},
  doi={10.1109/CICTN64563.2025.10932405}}"
,Projected Gradient Descent Adversarial Attack and Its Defense on a Fault Diagnosis System,Mustafa Sinasi Ayas; Selen Ayas; Seddik M. Djouadi,2022,https://ieeexplore.ieee.org/document/9851334,IEEE, 10.1109/TSP55681.2022.9851334,,Confrence ,,,,,"@INPROCEEDINGS{9851334,
  author={Ayas, Mustafa Sinasi and Ayas, Selen and Djouadi, Seddik M.},
  booktitle={2022 45th International Conference on Telecommunications and Signal Processing (TSP)}, 
  title={Projected Gradient Descent Adversarial Attack and Its Defense on a Fault Diagnosis System}, 
  year={2022},
  volume={},
  number={},
  pages={36-39},
  keywords={Fault diagnosis;Training;Analytical models;Perturbation methods;Knowledge based systems;Force;Rolling bearings;Fault diagnosis system;adversarial machine learning;projected gradient descent;adversarial training},
  doi={10.1109/TSP55681.2022.9851334}}
"
